Region,Site,Latitude,Longitude,Date,Season,Band_number,Alpha,Age_class,Eye_fleck,Sex,Bander,Mass,Wing,Tail,Toe,Tarsus,Max_tarsus,Culmen,Head_bill,Bill_depth,Bill_width,Bill_tip
British Columbia,Salish Sea,49.44,-123.72,2019-02-28,0,7050,CA,ASY,2a,F,LW,649,250,,,,65.55,80.6,125.5,13.4,9.3,
British Columbia,Salish Sea,49.42,-123.64,2019-02-28,0,7049,EK,ASY,2c,F,LW,569,255,100,,55.17,65.17,67,113.76,12.7,8.4,
British Columbia,Salish Sea,49.44,-123.72,2019-03-01,0,7047,HH,SY,3c,M,LW,558,234,90,43,53.75,65.6,69.35,113.5,13,9.47,5.12
British Columbia,Salish Sea,49.44,-123.72,2019-03-01,0,7048,JT,ASY,1a,M,LW,657,253,105,43,51.65,62.64,77.9,122.7,13.2,8.8,4.2
British Columbia,Salish Sea,49.44,-123.72,2019-03-01,0,7046,KY,ASY,1c,M,LW,595,247,95,42,50.9,63.52,67.3,110.95,12.4,9.6,4.9
British Columbia,Salish Sea,49.42,-123.64,2019-03-01,0,7045,JJ,ASY,3a,F,LW,595,249,99,43,53.23,66.19,72.23,115.2,12.1,8.27,4.94
British Columbia,Pacific Rim,49.17,-125.88,2019-03-08,0,7044,JK,SY,3c,M,LW,591,246,92,44,55.48,,75.28,120.29,12.13,9.56,5.53
British Columbia,Pacific Rim,48.93,-125.38,2019-03-09,0,7041,EJ,ASY,3b,F,LW,590,251,97,45,52.68,65.87,78.95,123.67,12.87,9,5.34
British Columbia,Pacific Rim,48.93,-125.38,2019-03-09,0,7042,KT,ASY,2c,F,LW,655,252,102,47,53.89,68.1,79.5,127.15,13.29,9.72,5.21
British Columbia,Pacific Rim,48.92,-125.48,2019-03-09,0,7043,HT,ASY,2c,F,LW,622,254,105,45,54.2,65.55,76.88,121.27,12.88,8.84,5.58
British Columbia,Pacific Rim,48.86,-125.16,2019-03-10,0,7040,EE,ASY,2c,F,LW,575,258,105,46,52.26,66.94,79.18,123.1,12.4,8.76,4.26
British Columbia,Pacific Rim,48.86,-125.16,2019-03-10,0,7036,EX,ASY,1a,M,LW,555,251,98,44,49.97,62.5,68.25,111.7,11.89,9,5.02
British Columbia,Pacific Rim,48.86,-125.16,2019-03-10,0,7039,HP,ASY,2c,F,LW,590,254,97,45,56.02,67.86,77.86,123.07,12.89,9.22,6.06
