Region,Site,Alpha,Sex,P2,P3,P4,P5,P6,P7,P8,P9,P10,P9_P10_Diff,Assoc_imageID 
British Columbia,Haida Gwaii,KA,F,NA,174.14,184.56,198.5,213.1,223.78,234.11,238,238,0,BLOY_wing_KA_20220711.jpeg
British Columbia,Haida Gwaii,UN,M,165.81,178.4,191.96,205.92,218.24,232.85,240.42,244,244,0,BLOY_wing_UN_20220714.JPG
British Columbia,Haida Gwaii,H3,F,162.68,176.9,190.21,205.07,220.19,232.79,241.14,245,245,0,BLOY_wing_H3_20210713.JPG
British Columbia,Haida Gwaii,MA,F,165.86,182.82,196.54,209.17,222.01,231.35,240.59,246,244,2,BLOY_wing_MA_20220702.jpeg
British Columbia,Haida Gwaii,F1,F,175.61,183.71,198.96,210.65,224.69,239.29,244.53,247,247,0,BLOY_wing_F1_20210714.JPG
British Columbia,Haida Gwaii,LH,F,NA,187.91,200.91,210.91,224.38,235.26,243.75,248,246,2,BLOY_wing_LH_20220703.jpeg
British Columbia,Haida Gwaii,XY,F,NA,NA,NA,211.3,226.35,235.93,246.55,248,248,0,BLOY_wing_XY_20210714.JPG
British Columbia,Haida Gwaii,F0,M,NA,NA,NA,NA,225.29,236.16,244.91,249,249,0,BLOY_wing_F0_20210714.JPG
British Columbia,Haida Gwaii,L3,F,NA,NA,NA,NA,222.7,233.17,243.61,250,250,0,BLOY_wing_L3_20220713.jpeg
British Columbia,Haida Gwaii,P0,M,NA,175.46,191.19,205.7,222.79,235.03,243.95,250,250,0,BLOY_wing_P0_20220706.jpeg
British Columbia,Haida Gwaii,F9,M,168.44,181.59,196,210.6,226.59,232.52,245.6,250,249,1,BLOY_wing_F9_20210713.JPG
British Columbia,Haida Gwaii,Y2,M,NA,NA,NA,214.94,228.66,237.47,245.95,251,246,5,BLOY_wing_Y2_20220702.jpeg
British Columbia,Haida Gwaii,M7,M,NA,184.31,197.29,211.12,227.03,236.63,247.2,251,249,2,BLOY_wing_M7_20220713.jpeg
British Columbia,Haida Gwaii,L8,M,NA,NA,197.39,210.97,227.52,239.3,248.32,251,251,0,BLOY_wing_L8_20220702.jpeg
British Columbia,Haida Gwaii,TR,M,NA,NA,208.88,217.47,231.89,242.39,248.85,252,251,1,BLOY_wing_TR_20210714.JPG
British Columbia,Haida Gwaii,P9,M,NA,178.27,193.34,210.56,228.7,242.28,250.84,252,252,0,BLOY_wing_P9_20220702.jpeg
British Columbia,Haida Gwaii,P4,F,NA,180.36,195.47,213.3,228.2,238.74,248.23,253,250,3,BLOY_wing_P4_20220705.jpeg
British Columbia,Haida Gwaii,Y3,F,NA,NA,192.63,207.82,222.98,237.86,248.51,253,253,0,BLOY_wing_Y3_20220703.jpeg
British Columbia,Haida Gwaii,A1,M,178.65,192.46,205.46,216.65,229.25,242.58,249.49,255,250,5,BLOY_wing_A1_20210713.JPG
British Columbia,Haida Gwaii,Y8,F,NA,NA,199.94,215.05,229.29,240.98,250.21,255,255,0,BLOY_wing_Y8_20220713.jpeg
British Columbia,Haida Gwaii,ME,F,NA,NA,159.28,198.77,214.03,240.03,250.4,255,255,0,BLOY_wing_ME_20220702.jpeg
British Columbia,Haida Gwaii,U6,F,168.47,185.19,197.97,214.19,231.75,241.96,253.43,257,256,1,BLOY_wing_U6_20220715.jpeg
British Columbia,Haida Gwaii,XT,F,NA,NA,202.93,218.55,234.91,245.45,254.71,257,257,0,BLOY_wing_XT_20210715.JPG
British Columbia,Haida Gwaii,MJ,M,NA,NA,NA,212.44,228.9,240.66,252.66,258,257,1,BLOY_wing_MJ_20220703.jpeg
British Columbia,Haida Gwaii,MY,M,179.32,186.56,200.93,216.2,232.49,246.03,255.31,258,257,1,BLOY_wing_MY_20220704.jpeg
British Columbia,Haida Gwaii,L5,F,NA,NA,185.76,200.38,231.69,245.22,253.6,259,259,0,BLOY_wing_L5_20220706.jpeg
British Columbia,Haida Gwaii,AH,M,NA,195.42,208.9,222.46,236.24,246.8,256.27,260,258,2,BLOY_wing_AH_20220715.jpeg
Alaska,Kachemak Bay,RP,M,170.27,184.18,195.72,210.45,226.9,229.77,240.7,245,243,2,BLOY_wing_RP_20190626.JPG
Alaska,Kachemak Bay,NK,M,NA,177.4,188.83,204.45,218.88,231.89,241.15,246,245,1,BLOY_wing_NK_20190626.JPG
Alaska,Kachemak Bay,PE,F,NA,NA,NA,NA,222.9,233.33,243.27,247,245,2,BLOY_wing_PE_20190625.JPG
Alaska,Kachemak Bay,HC,M,NA,NA,198.59,208.37,223.66,235.46,244.48,248,248,0,BLOY_wing_HC_20190626.JPG
Alaska,Kachemak Bay,NR,M,NA,NA,199.63,213.17,229.23,236.79,246.93,249,248,1,BLOY_wing_NR_20190625.JPG
Alaska,Kachemak Bay,PN,F,174.47,178.82,191.45,207.21,222.79,235.56,246.62,251,251,0,BLOY_wing_PN_20190626.JPG
Alaska,Kachemak Bay,PR,F,NA,183.26,198.67,213.62,229.25,241.59,250.71,255,252,3,BLOY_wing_PR_20190626.JPG
Alaska,Kachemak Bay,KH,F,NA,NA,200.96,220.95,233.51,243.31,255.83,259,259,0,BLOY_wing_KH_20190626.JPG
Alaska,Kachemak Bay,CE,F,NA,196.18,210.11,226.09,239.12,250.19,258.65,262,258,4,BLOY_wing_CE_20190625.JPG
Alaska,Katmai,NH,M,NA,NA,NA,201.41,215.19,225.98,233.9,235,235,0,BLOY_wing_NH_20190709.JPG
Alaska,Katmai,H0,M,NA,NA,179.97,190.54,203.96,216.06,226.67,236,233.2,2.8,BLOY_wing_H0_20210721.JPG
Alaska,Katmai,G11,M,157.19,170.49,180.66,196.59,209.72,219.93,233.47,236,243,3,BLOY_wing_G11_20190706.JPG
Alaska,Katmai,H7,M,NA,NA,184.3,202.32,217.1,228.14,238.09,239,238,1,BLOY_wing_H7 _20210711.JPG
Alaska,Katmai,NN,F,NA,177.98,188.88,203.89,217.33,227.83,235.63,240,237,3,BLOY_wing_NN_20190705.JPG
Alaska,Katmai,CN,M,NA,170.98,184.65,201.76,217.32,226.92,236.44,240,240,0,BLOY_wing_CN_20190707.JPG
Alaska,Katmai,NY,M,157.28,173.82,187.2,201.2,214.92,225.19,237.65,240,240,0,BLOY_wing_NY_20190703.JPG
Alaska,Katmai,NP,M,164.7,177.55,188.5,201.56,215.68,226.53,238.37,240,238,2,BLOY_wing_NP_20190703.JPG
Alaska,Katmai,RN,M,158.81,173.15,187.61,201.37,216.21,226.88,238.06,241,236,5,BLOY_wing_RN_20190704.JPG
Alaska,Katmai,TH,M,169.17,185.4,196.59,206.89,220.45,232.09,239.57,243,239,4,BLOY_wing_TH_20210705.JPG
Alaska,Katmai,TN,M,NA,NA,NA,209.71,221.47,233.46,242.48,245,244,1,BLOY_wing_TN_20210714.JPG
Alaska,Katmai,G05,F,NA,NA,190.62,203.92,220.83,232.16,242.97,246,245,1,BLOY_wing_G05_20190704.JPG
Alaska,Katmai,G08,M,NA,NA,NA,209.07,223.07,234.11,242.03,248,247,1,BLOY_wing_G08_20190705.JPG
Alaska,Katmai,NX,F,NA,NA,198.68,212.58,225.48,234.92,243.95,248,248,0,BLOY_wing_NX_20190705.JPG
Alaska,Katmai,J5,M,NA,188.72,200.39,214.47,227.87,237.95,245.51,248,245,3,BLOY_wing_J5_20210713.JPG
Alaska,Katmai,G96,M,172.04,185.14,194.98,207.46,225.07,235.66,246,248,245,3,BLOY_wing_G96_20190701.JPG
Alaska,Katmai,UC,M,165.38,181.22,195.15,210.61,226.57,236.39,245.7,250,245.2,4.8,BLOY_wing_UC_20210707.JPG
Alaska,Katmai,NC,M,NA,184.17,195.59,209.69,226.2,236.71,247.06,251,249,2,BLOY_wing_NC_20190705.JPG
Alaska,Katmai,A7,F,NA,187.59,203.18,217.02,229.9,240.96,247.95,251,251,5.4,BLOY_wing_A7_20210710.JPG
Alaska,Katmai,NX,F,NA,NA,200.27,214.21,227.78,237.78,248.99,251,251,0,BLOY_wing_NX_20210711.JPG
Alaska,Katmai,RH,F,174.19,187.16,199.51,214.86,230.36,240.1,249.4,251,250,1,BLOY_wing_RH_20190703.JPG
Alaska,Katmai,HK,F,164.88,178.95,195.29,211.49,228.26,240.69,246.81,253,253,5.8,BLOY_wing_HK_20210707.JPG
Alaska,Katmai,E7,M,NA,NA,199.25,210.86,226.04,239.41,248.82,253,251,2,BLOY_wing_E7_20210706.JPG
Alaska,Katmai,XJ,F,NA,190.74,200.81,216.29,230.53,242.88,254.18,256,255,1,BLOY_wing_XJ _20210714.JPG
Alaska,Katmai,F7,F,NA,194.81,209.37,224.17,240.25,250.54,259.55,266,264,2,BLOY_wing_F7_20210713.JPG
Alaska,Katmai,J6,F,NA,NA,231.74,243.68,256.58,266.98,276.12,280,274.3,5.7,BLOY_wing_J6_20210710.JPG
Alaska,Kenai Fjords,Y1,M,142.3,175.74,185.32,198.61,212.53,221.63,232.45,236,231.6,4.4,BLOY_wing_Y1_20220620.JPG
Alaska,Kenai Fjords,A3,M,NA,NA,187.97,200.3,214.44,223,231.67,237,234.7,2.3,BLOY_wing_A3_20220617.JPG
Alaska,Kenai Fjords,C2,M,NA,NA,184.42,189.84,210.76,220.27,233.53,237,234.9,3,BLOY_wing_C2_20210622.JPG
Alaska,Kenai Fjords,XH,M,149.37,163.79,176.64,190.72,202.79,217.98,227.55,237.5,234.9,2.1,BLOY_wing_XH_20220619.JPG
Alaska,Kenai Fjords,XH,M,NA,NA,195.23,208.26,222.42,232.35,236.97,240,237.5,2.5,BLOY_wing_XH_20210628.JPG
